employee_id,full_name,email,department,office_location,employment_type,grade,budget,headcount,hours_worked,rating,notes,report_date
E00001,Allison Hill,donaldgarcia@mcclain.com,HR,Hobart,Casual,APS1,78289,1,1250.4,4.6,Dolor magnam ad dicta.,2023-03-31
E00002,Kimberly Robinson,lisa02@henderson.net.au,HR,Hobart,Part-time,APS4,63478,5,438.0,3.6,At atque sed nobis.,2024-07-12
E00003,Monica Herrera,smiller@montgomery.com.au,Marketing,Melbourne,Part-time,APS1,104597,3,364.3,4.8,Optio quo voluptates.,2023-12-11
E00004,Sharon James,xreid@wood.net,HR,Melbourne,Casual,APS6,165791,1,1340.5,3.1,,2024-01-23
E00005,Melinda Jones,amandasanchez@gray-mayo.edu,Legal,Melbourne,Full-time,APS4,66006,2,1414.2,4.9,Placeat sapiente quod dolorem adipisci.,2023-08-27
E00006,Derek Clark,jason76@ellis.edu,Engineering,Brisbane,Part-time,APS6,87460,3,1293.1,3.7,,2023-03-15
E00007,Nicole Patterson,icox@snyder.org,IT,Perth,Contract,APS3,143886,5,473.3,2.3,,2023-02-27
E00008,Rebecca Henderson,cruzcaitlin@rice-maddox.com,Legal,Darwin,Casual,EL1,179686,5,1589.8,2.3,Placeat modi eaque odit.,2024-11-02
E00009,Jeffrey Chavez,teresa28@harrell.edu,Engineering,Hobart,Casual,APS3,157647,5,1016.3,4.0,Dicta fugiat cum veritatis ullam ullam nobis laborum.,2024-03-14
E00010,Jack Galloway,john39@miller.com.au,Operations,Hobart,Contract,SES1,66175,1,359.8,1.6,,2024-11-27
E00011,Kim Martinez,karroyo@rose-obrien.org.au,Sales,Adelaide,Contract,EL1,132512,1,1256.5,1.5,,2024-07-03
E00012,Nicole Vaughn,raymond57@hayes.com,Legal,Brisbane,Casual,APS2,119470,1,1721.5,4.5,,2023-09-27
E00013,Crystal Robinson,zimmermanbrian@whitehead.com.au,HR,Sydney,Part-time,APS5,159943,2,1016.9,4.1,,2024-06-27
E00014,Diana Washington,jenniferkhan@kennedy.org.au,Engineering,Melbourne,Full-time,APS1,107576,3,507.1,2.0,Atque inventore incidunt iure.,2024-08-03
E00015,Megan Joyce,brownjessica@wright.edu,Engineering,Hobart,Part-time,APS2,122296,5,380.7,3.1,,2024-09-13
E00016,Javier Ramirez,nancyjones@garcia.com,IT,Perth,Contract,APS5,145180,3,844.8,3.1,Unde sed cumque laborum.,2023-05-04
E00017,James Brown,ysmith@house-glover.net,Legal,Sydney,Part-time,APS1,60942,1,1303.3,1.2,,2023-03-11
E00018,Tyler Cowan,smoore@novak.edu,HR,Darwin,Part-time,SES1,123624,2,1016.7,3.9,Quibusdam animi nesciunt magnam.,2024-08-07
E00019,Brooke Yu,yorkcasey@leonard.biz,Engineering,Melbourne,Part-time,EL1,146374,4,702.3,2.6,Velit necessitatibus neque aliquam.,2023-02-25
E00020,Matthew Cunningham,sarah35@baker.net,Legal,Perth,Part-time,APS2,130292,4,338.3,1.7,,2024-04-18
E00021,Timothy Walls,ellisyolanda@jones.edu,HR,Brisbane,Full-time,EL2,66630,5,1521.2,4.9,,2023-08-31
E00022,Timothy Ibarra,mikemoore@warner.edu,Engineering,Adelaide,Contract,APS4,81579,4,103.7,2.6,,2024-04-10
E00023,Robert Evans,mcmillandennis@preston.edu,Engineering,Sydney,Part-time,APS3,67665,5,1350.8,1.2,Earum non quaerat dignissimos.,2023-11-18
E00024,Deborah Freeman,davisrodney@williams-cook.org,Engineering,Perth,Part-time,SES1,126562,1,1547.3,1.3,,2023-03-11
E00025,Deborah Figueroa,hhoffman@landry.org,IT,Perth,Full-time,APS1,114948,5,1060.9,2.3,,2023-09-25
